area,rooms,location,age,price
2122,1,Bhubaneswar,9,9025000.0
1710,3,Kochi,2,9567000.0
2220,5,Coimbatore,50,6550000.0
2789,5,Chennai,7,15940000.0
1647,2,Mangalore,5,6494000.0
1647,2,Salem,22,4509000.0
2826,1,Visakhapatnam,20,11095000.0
2298,5,Hyderabad,3,14333000.0
1494,2,Coimbatore,22,5949000.0
2152,2,Ahmedabad,3,9674000.0
1498,2,Lucknow,0,8500000.0
1497,5,Nashik,0,7558000.0
1957,4,Delhi,8,17050000.0
556,4,Pune,4,3859000.0
678,4,Srinagar,17,2339000.0
1434,4,Mumbai,9,14622000.0
1141,4,Bhopal,18,4377000.0
2004,2,Kolkata,13,8515000.0
1209,3,Ranchi,50,2387000.0
882,4,Dehradun,7,4115000.0
2752,3,Hubli,4,9010000.0
1653,1,Bangalore,2,11694000.0
1843,2,Rural,12,3088000.0
873,6,Hyderabad,9,6493000.0
1446,4,Vijayawada,14,5900000.0
1872,4,Gurgaon,18,12429000.0
1051,4,Salem,12,3833000.0
2044,2,Mumbai,20,14297000.0
1409,1,Nashik,2,6084000.0
1610,3,Rural,27,2142000.0
1408,3,Nashik,3,5863000.0
3003,4,Varanasi,4,13289000.0
1791,2,Agra,1,7226000.0
1112,3,Suburban,2,3453000.0
2334,2,Rajkot,14,8236000.0
1006,3,Indore,1,5009000.0
1935,3,Chennai,50,5584000.0
526,3,Raipur,34,1307000.0
936,3,Hyderabad,0,6618000.0
1927,2,Delhi,18,14160000.0
2280,3,Jodhpur,5,8261000.0
1911,3,Gurgaon,19,14680000.0
1724,3,Pune,0,11162000.0
1604,2,Jodhpur,11,6041000.0
838,3,Vijayawada,15,3969000.0
1332,4,Bangalore,22,8149000.0
1500,2,Noida,26,8717000.0
2487,5,Mumbai,0,26942000.0
2023,3,Mysore,16,8116000.0
654,1,Mumbai,1,7130000.0
2010,3,Noida,9,13988000.0
1549,2,Ranchi,5,5254000.0
1360,3,Vadodara,3,6585000.0
2197,3,Guwahati,4,8811000.0
2470,4,Hyderabad,3,14570000.0
2405,4,Bangalore,3,22324000.0
1254,3,Gurgaon,12,10228000.0
1599,3,Nashik,5,8595000.0
2015,4,Hyderabad,26,8596000.0
2434,3,Delhi,9,21729000.0
1488,2,Aligarh,8,4815000.0
1679,3,Ahmedabad,30,4788000.0
1080,2,Ludhiana,25,3769000.0
1022,3,Visakhapatnam,0,5812000.0
2328,3,Mumbai,11,22682000.0
2681,3,Nagpur,11,11379000.0
1753,2,Pune,30,6502000.0
2452,1,Bangalore,14,16881000.0
2035,2,Noida,7,15386000.0
1380,1,Bhubaneswar,0,6018000.0
2034,3,Aligarh,1,7432000.0
2799,3,Indore,7,13304000.0
1776,2,Udaipur,49,3746000.0
2817,2,Tiruchi,50,5037000.0
500,3,Lucknow,7,2743000.0
2334,2,Hyderabad,25,10385000.0
1856,2,Jaipur,2,6178000.0
1605,3,Noida,4,13213000.0
1859,2,Lucknow,5,9915000.0
508,4,Visakhapatnam,14,2741000.0
1657,4,Visakhapatnam,20,7747000.0
2032,3,Coimbatore,5,11235000.0
2760,2,Chennai,7,14173000.0
1463,2,Gurgaon,0,13333000.0
1274,2,Noida,3,9938000.0
1473,2,Agra,19,4545000.0
2395,3,Hyderabad,0,15714000.0
2013,2,Chennai,16,9754000.0
1455,5,Kolkata,8,7180000.0
2133,6,Surat,3,13366000.0
1863,4,Amritsar,7,7527000.0
2429,4,Shimla,7,11766000.0
1343,3,Jamshedpur,44,2984000.0
1587,4,Srinagar,14,6607000.0
1545,2,Chennai,6,8421000.0
848,6,Udaipur,32,2572000.0
1992,4,Delhi,30,11757000.0
1969,3,Coimbatore,8,9862000.0
1803,4,Delhi,33,9898000.0
1647,1,Bhopal,11,6419000.0
880,3,Delhi,15,6163000.0
1526,5,Ludhiana,7,6441000.0
1577,3,Mumbai,11,16886000.0
1278,4,Hyderabad,5,7964000.0
1695,3,Amritsar,2,7883000.0
2062,3,Ahmedabad,5,9486000.0
3026,4,Udaipur,5,10402000.0
1913,5,Bangalore,17,13116000.0
